client_id,treatment_flg,target
000012768d,0,1
000036f903,1,1
00010925a5,1,1
0001f552b0,1,1
00020e7b18,1,1
000220a0a7,0,1
00022fd34f,1,1
0002ce2217,0,1
00031cbbe6,0,1
00035a21d9,0,0
00038f9200,1,1
0004231e2a,1,0
0004254599,0,0
00042a927a,0,1
0004315e57,0,1
00047b3720,1,0
0004e1e14e,0,0
00065f11c7,0,1
00068fd5dc,0,0
0006b9ad75,1,1
0006f24465,0,1
0006fca4bf,0,0
000702109b,1,1
00071890c8,0,1
0007667c60,0,1
00078c508d,0,1
0007b4ca21,1,0
0008244fb3,0,1
00083b5b14,1,0
0008b2cb41,1,1
000940f00a,1,0
000990be82,0,0
0009e6bafa,1,0
000a00419c,1,0
000a400848,1,0
000a9d12ff,1,1
000ac12729,0,1
000b0559be,0,0
000b45b7ac,0,1
000b9905d8,1,1
000bc820f6,1,0
000bc94494,0,0
000bd5f2f1,0,0
000bf8ff33,0,1
000c049a1a,1,0
000c216adb,1,0
000ca87889,1,1
000d599743,0,0
000ddb6229,0,1
000df9078a,0,1
000efde438,0,1
000f3b9860,0,1
000f46bbfc,1,1
000f881861,0,0
0010082ab3,0,1
0010f1f8ca,1,1
001162084a,0,0
001175d51b,0,1
00127b29bb,0,1
0012d1d4aa,1,0
00134e091b,0,0
001392b297,1,1
0013c0cbab,1,1
00140e5d34,0,0
001566f916,0,0
0015aa77ce,1,1
00167a61e2,1,1
0016b0d9ad,1,0
00174b3561,0,1
00177cee3e,0,0
0017a7ebcb,1,1
0017fdd057,1,1
00184aab1b,0,1
00184df0c9,1,1
00184e8b0a,0,0
00184f3b10,0,1
0018650c30,0,1
0018d2efac,0,1
0018dea0ba,0,1
0019a16b6b,0,0
0019ca361b,0,1
0019e0f07d,1,1
0019fb86cb,0,1
001a2412c6,1,1
001b8d6788,1,0
001c25b9e3,0,1
001c2b565f,1,0
001c8984f0,1,0
001cef2991,0,1
001d004e5e,0,0
001d642f66,0,1
001dac232d,0,1
001de90d21,1,1
001e840150,0,1
001e9c6ba3,1,0
001f46aa2c,0,1
001fb70769,0,1
00209f873d,1,0
